step,time_s,picard_iterations,picard_final_delta,linear_normalized_inf_residual,moisture_balance_residual,energy_balance_residual
276,69.000000,3,2.339879e-10,1.150766e-16,-2.494777e-21,4.065137e-12
277,69.250000,3,2.336527e-10,1.726254e-16,1.561717e-21,-9.664491e-14
278,69.500000,3,2.333209e-10,1.329534e-16,8.682088e-21,2.703393e-14
279,69.750000,3,2.329905e-10,1.196556e-16,-9.595295e-21,6.334544e-12
280,70.000000,3,2.326628e-10,1.196532e-16,7.570357e-21,1.535772e-12
281,70.250000,3,2.323350e-10,1.163271e-16,3.189608e-20,1.577738e-12
282,70.500000,3,2.320100e-10,1.151188e-16,-1.479661e-20,3.450407e-12
283,70.750000,3,2.316862e-10,1.262928e-16,3.302105e-21,-8.610335e-13
284,71.000000,3,2.313634e-10,1.528775e-16,-2.024276e-20,1.984302e-12
285,71.250000,3,2.310419e-10,1.151399e-16,1.900530e-20,1.475597e-12
286,71.500000,3,2.307239e-10,1.528712e-16,3.983702e-20,-3.004819e-13
287,71.750000,3,2.304050e-10,1.151539e-16,3.930762e-21,-6.046275e-13
288,72.000000,3,2.300897e-10,1.196333e-16,1.144156e-20,1.315503e-12
289,72.250000,3,2.297753e-10,1.151679e-16,-2.314782e-20,-8.680279e-13
290,72.500000,3,2.294618e-10,1.151749e-16,2.805797e-21,-3.396727e-13
291,72.750000,3,2.291505e-10,1.151819e-16,-2.210888e-20,-2.245981e-13
292,73.000000,3,2.288405e-10,1.151889e-16,2.354487e-20,1.614708e-12
293,73.250000,3,2.285319e-10,1.151958e-16,7.451243e-21,3.122058e-12
294,73.500000,3,2.282246e-10,1.728042e-16,2.484189e-20,1.863565e-12
295,73.750000,3,2.279190e-10,1.152098e-16,-8.609296e-21,7.052692e-13
296,74.000000,3,2.276148e-10,1.152167e-16,-3.169756e-21,2.706169e-13
297,74.250000,3,2.273119e-10,1.152237e-16,-2.268460e-20,4.950762e-12
298,74.500000,3,2.270109e-10,1.728457e-16,-5.664533e-21,-1.687872e-12
299,74.750000,3,2.267107e-10,1.295725e-16,1.538556e-20,-3.786027e-12
300,75.000000,3,2.264127e-10,1.152439e-16,2.640361e-21,-5.191403e-13
301,75.250000,3,2.261147e-10,1.362114e-16,-8.450477e-21,4.684864e-12
302,75.500000,3,2.258185e-10,1.152573e-16,1.581569e-21,-2.886469e-12
303,75.750000,3,2.255240e-10,1.152640e-16,-2.001115e-20,-3.293810e-12
304,76.000000,3,2.252318e-10,1.152707e-16,-2.363751e-20,-1.030953e-12
305,76.250000,3,2.249401e-10,1.152774e-16,-8.708557e-21,-9.466872e-13
306,76.500000,3,2.246496e-10,1.152840e-16,2.155302e-20,-2.723100e-12
307,76.750000,3,2.243601e-10,1.229065e-16,2.636390e-20,1.575962e-13
308,77.000000,3,2.240723e-10,1.152974e-16,-1.629215e-20,9.078294e-13
309,77.250000,3,2.237863e-10,1.262228e-16,1.825753e-20,-1.843525e-13
310,77.500000,3,2.235012e-10,1.153107e-16,-2.525217e-20,3.806677e-12
311,77.750000,3,2.232170e-10,1.153174e-16,1.588187e-22,2.745859e-12
312,78.000000,3,2.229346e-10,1.428216e-16,2.455072e-20,-4.439060e-12
313,78.250000,3,2.226535e-10,1.228903e-16,2.758813e-20,6.954437e-13
314,78.500000,3,2.223732e-10,1.361728e-16,2.062658e-20,-1.429357e-12
315,78.750000,3,2.220948e-10,1.153440e-16,3.110199e-21,-1.372236e-13
316,79.000000,3,2.218163e-10,1.730259e-16,1.826415e-21,5.548340e-13
317,79.250000,3,2.215401e-10,1.153572e-16,-2.222138e-20,-2.431555e-12
318,79.500000,3,2.212652e-10,1.361607e-16,2.646978e-23,2.241374e-12
319,79.750000,3,2.209908e-10,1.442131e-16,-8.146075e-21,-1.438294e-12
320,80.000000,3,2.207186e-10,1.195504e-16,-2.529187e-20,1.137757e-12
321,80.250000,3,2.204468e-10,1.442297e-16,-2.455072e-21,2.517930e-12
322,80.500000,3,2.201763e-10,1.153904e-16,-5.631446e-21,-1.043998e-12
323,80.750000,3,2.199076e-10,1.162217e-16,9.787201e-21,-3.822720e-12
324,81.000000,3,2.196394e-10,1.154036e-16,-2.573524e-20,-7.412959e-13
325,81.250000,3,2.193730e-10,1.154102e-16,1.844944e-20,1.110945e-12
326,81.500000,3,2.191070e-10,1.660197e-16,-1.237462e-21,-4.120815e-12
327,81.750000,3,2.188432e-10,1.154234e-16,2.942778e-20,-2.986111e-12
