record_type,time_s,time_h,radius_cm,r_cm,is_surface,temperature_C,moisture_kgkg
sample_fixed,840,0.23333333,1.9407,1.4000,0,29.5050,2.5500
sample_fixed,840,0.23333333,1.9407,1.5000,0,29.7315,2.5494
sample_fixed,840,0.23333333,1.9407,1.6000,0,29.9876,2.5427
sample_fixed,840,0.23333333,1.9407,1.7000,0,30.2757,2.4933
sample_fixed,840,0.23333333,1.9407,1.8000,0,30.5993,2.2789
sample_fixed,840,0.23333333,1.9407,1.9000,0,30.9667,1.7049
sample_surface,840,0.23333333,1.9407,1.9407,1,31.1337,1.3422
sample_fixed,900,0.25000000,1.9365,0.0000,0,28.4165,2.5500
sample_fixed,900,0.25000000,1.9365,0.1000,0,28.4216,2.5500
sample_fixed,900,0.25000000,1.9365,0.2000,0,28.4368,2.5500
sample_fixed,900,0.25000000,1.9365,0.3000,0,28.4626,2.5500
sample_fixed,900,0.25000000,1.9365,0.4000,0,28.4994,2.5500
sample_fixed,900,0.25000000,1.9365,0.5000,0,28.5478,2.5500
sample_fixed,900,0.25000000,1.9365,0.6000,0,28.6089,2.5500
sample_fixed,900,0.25000000,1.9365,0.7000,0,28.6836,2.5500
sample_fixed,900,0.25000000,1.9365,0.8000,0,28.7732,2.5500
sample_fixed,900,0.25000000,1.9365,0.9000,0,28.8792,2.5500
sample_fixed,900,0.25000000,1.9365,1.0000,0,29.0031,2.5500
sample_fixed,900,0.25000000,1.9365,1.1000,0,29.1468,2.5500
sample_fixed,900,0.25000000,1.9365,1.2000,0,29.3119,2.5500
sample_fixed,900,0.25000000,1.9365,1.3000,0,29.5006,2.5500
sample_fixed,900,0.25000000,1.9365,1.4000,0,29.7147,2.5499
sample_fixed,900,0.25000000,1.9365,1.5000,0,29.9561,2.5490
sample_fixed,900,0.25000000,1.9365,1.6000,0,30.2268,2.5391
sample_fixed,900,0.25000000,1.9365,1.7000,0,30.5291,2.4773
sample_fixed,900,0.25000000,1.9365,1.8000,0,30.8666,2.2372
sample_fixed,900,0.25000000,1.9365,1.9000,0,31.2485,1.6429
sample_surface,900,0.25000000,1.9365,1.9365,1,31.4036,1.3210
sample_fixed,960,0.26666667,1.9323,0.0000,0,28.5177,2.5500
sample_fixed,960,0.26666667,1.9323,0.1000,0,28.5234,2.5500
sample_fixed,960,0.26666667,1.9323,0.2000,0,28.5406,2.5500
